"Kommun_code","Year","Kommun_name","Productivity","EmployeeIndex","SalesIndex","Population","Percent_University","Infrast","Border","Patent"
2026,2003,"Gagnef",98.8704404889397,7.53118148161461,7.44611230489381,10059,0.0642210955363356,0,0,48
2026,2004,"Gagnef",72.2229337680231,11.0654482336124,7.99179134889677,10091,0.0658012089981171,0,0,46
2026,2005,"Gagnef",71.9497989874588,13.6539733534914,9.82400638163828,10131,0.0696870990030599,0,0,36
2026,2006,"Gagnef",60.0530145002644,16.2452157955212,9.7557417972836,10080,0.0740079365079365,0,0,38
2026,2007,"Gagnef",74.6348384784852,11.0726237763113,8.26403487078027,10111,0.0758579764612798,0,0,38
2026,2008,"Gagnef",73.3828454778664,10.1766662670822,7.46792728157111,10107,0.0782625902839616,0,0,36
2026,2009,"Gagnef",62.4219495892134,9.6700934047158,6.03626083032155,10071,0.0812233144672823,0,0,23
2026,2010,"Gagnef",64.5935634254819,9.25207913889146,5.97624760675562,10097,0.0855699712785976,0,0,39
2026,2011,"Gagnef",80.8481458585801,6.59698684337949,5.3335415454068,10069,0.0895818849935445,0,0,35
2026,2012,"Gagnef",80.8606245933045,6.17606507652006,4.99400479616305,10012,0.0919896124650419,0,0,19
2029,2001,"Leksand",120.36246829308,33.4538740445235,40.2659085396465,15313,0.0701364853392542,0,0,48
2029,2002,"Leksand",133.859486467245,30.661417762515,41.0432163604793,15301,0.0734592510293445,0,0,48
2029,2003,"Leksand",132.848915203639,31.1635095790949,41.4003844152096,15419,0.0771775082690187,0,0,48
2029,2004,"Leksand",130.52905167731,29.7537608059356,38.837301818323,15504,0.0799793601651187,0,0,46
2029,2005,"Leksand",118.089035163543,31.280011682544,36.9382639949599,15440,0.0840025906735751,0,0,36
2029,2006,"Leksand",115.680646555778,30.8181299650329,35.6506119999499,15450,0.0862135922330097,0,0,38
2029,2007,"Leksand",108.649354302495,29.6023207080975,32.1627303079016,15338,0.0906245925153214,0,0,38
2029,2008,"Leksand",117.104674909424,29.4473747302805,34.4842524472549,15288,0.0938644688644689,0,0,36
2029,2009,"Leksand",113.455727301596,32.3022269051145,36.6487264698093,15303,0.0973665294386722,0,0,23
2029,2010,"Leksand",112.042096892762,32.2794761067991,36.1666018960555,15289,0.099287069134672,0,0,39
2029,2011,"Leksand",31.8337553383971,115.347315413029,36.7193821779929,15238,0.102572516078225,0,0,35
2029,2012,"Leksand",103.469527468753,35.2633393078726,36.4868105515588,15146,0.106628812887891,0,0,19
2031,2001,"Rättvik",79.7734577898646,18.8005242564264,14.9978282819736,10856,0.0527818717759764,0,0,48
2031,2002,"Rättvik",76.516836461866,19.634065760207,15.0233659885528,10898,0.056432372912461,0,0,48
2031,2003,"Rättvik",77.9890034576757,19.4771934869343,15.1900691019834,10827,0.0602198208183246,0,0,48
2031,2004,"Rättvik",81.9133348147334,17.458818324144,14.3011003085521,10864,0.062960235640648,0,0,46
2031,2005,"Rättvik",69.4252446370216,18.8673086339155,13.0986751755177,10886,0.0655888296895095,0,0,36
2031,2006,"Rättvik",68.3254245548817,18.1564176538179,12.4054494459285,10884,0.0690003675119441,0,0,38
2031,2007,"Rättvik",71.384973139332,18.3037250179839,13.066109187585,10883,0.0717633005605072,0,0,38
2031,2008,"Rättvik",62.2980006926068,19.920282905778,12.4099379826108,10850,0.0735483870967742,0,0,36
2031,2009,"Rättvik",60.839826442943,19.1344401412462,11.641360172763,10797,0.0781698619987033,0,0,23
2031,2010,"Rättvik",55.4471527570168,19.326565312351,10.7160301914239,10811,0.0791786143742484,0,0,39
2031,2011,"Rättvik",56.1478052152839,21.1903213757038,11.8979003705229,10859,0.0828805599042269,0,0,35
2031,2012,"Rättvik",56.0928965805684,22.7119812491383,12.7398081534772,10799,0.0860264839336976,0,0,19
